timestamp,src,dst,protocol,smac,dmac,cs1,cs1Label
May 29 2018 06:22:43 UTC,128.143.188.120,203.205.151.50,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Trojan.Qzonit,sname
May 29 2018 06:27:58 UTC,128.143.188.120,203.205.151.50,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Trojan.Qzonit,sname
May 29 2018 06:27:58 UTC,128.143.188.120,203.205.151.50,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Trojan.Qzonit,sname
May 29 2018 06:31:29 UTC,128.143.188.120,203.205.151.50,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Trojan.Qzonit,sname
May 29 2018 06:31:29 UTC,128.143.188.120,203.205.151.50,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Trojan.Qzonit,sname
May 29 2018 07:21:02 UTC,128.143.188.120,115.215.216.225,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Backdoor.Zegost,sname
May 29 2018 07:21:02 UTC,128.143.188.120,115.215.216.225,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Backdoor.Zegost,sname
May 29 2018 07:21:02 UTC,128.143.188.120,115.215.216.225,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Backdoor.Nitol,sname
May 29 2018 07:21:02 UTC,128.143.188.120,115.215.216.225,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Backdoor.Nitol,sname
May 29 2018 07:36:05 UTC,128.143.188.120,203.205.151.50,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Trojan.Qzonit,sname
May 29 2018 07:36:05 UTC,128.143.188.120,203.205.151.50,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Trojan.Qzonit,sname
May 29 2018 07:38:58 UTC,128.143.188.120,203.205.151.50,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Trojan.Qzonit,sname
May 29 2018 07:38:58 UTC,128.143.188.120,203.205.151.50,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Trojan.Qzonit,sname
May 29 2018 07:41:54 UTC,128.143.188.120,203.205.151.50,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Trojan.Qzonit,sname
May 29 2018 07:41:54 UTC,128.143.188.120,203.205.151.50,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Trojan.Qzonit,sname
May 29 2018 07:55:52 UTC,128.143.188.120,115.215.216.225,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Backdoor.Zegost,sname
May 29 2018 07:55:52 UTC,128.143.188.120,115.215.216.225,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Backdoor.Zegost,sname
May 29 2018 07:55:52 UTC,128.143.188.120,115.215.216.225,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Backdoor.Nitol,sname
May 29 2018 07:55:52 UTC,128.143.188.120,115.215.216.225,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Backdoor.Nitol,sname
May 29 2018 10:17:07 UTC,128.143.188.120,203.205.151.50,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Trojan.Qzonit,sname
May 29 2018 10:17:07 UTC,128.143.188.120,203.205.151.50,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Trojan.Qzonit,sname
May 29 2018 10:31:17 UTC,128.143.188.120,203.205.151.50,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Trojan.Qzonit,sname
May 29 2018 10:31:17 UTC,128.143.188.120,203.205.151.50,tcp,a8:d0:e5:e0:d7:19,12:34:56:12:34:56,Trojan.Qzonit,sname
May 29 2018 12:02:35 UTC,137.54.101.1,212.61.180.100,tcp,12:34:56:12:34:56,a8:d0:e5:e1:1f:1a,Trojan.Malware.Sinkhole,sname
